52,DOG,0.45
53,CAT,0.45
54,FISH,0.45
55,PIG,0.45
56,COW,0.45
57,GOAT,0.45
58,HAMSTER,0.45
59,SHEEP,0.45
60,CHICKEN,0.45
61,HORSE,0.45
62,MONKEY,0.45
63,DONKEY,0.45
64,MOUSE,0.45
65,RABBIT,0.45
66,DEER,0.45
67,FROG,0.45
68,CROW,0.45
69,COYOTE,0.45
70,TURTLE,0.45
71,WHALE,0.45
72,ZEBRA,0.25
73,CARDINAL,0.25
74,DUCK,0.25
75,SEAHORSE,0.25
76,PENGUIN,0.25
77,OCTOPUS,0.25
78,GORILLA,0.25
79,SLOTH,0.25
80,LION,0.25
81,JAGUAR,0.25
82,CAMEL,0.25
83,DRAMADARY,0.25
84,DOLPHIN,0.25
85,CHAMELEON,0.25
86,FOX,0.25
87,TOUCAN,0.15
88,PYTHON,0.15
89,CHEETAH,0.15
90,ELEPHANT,0.15
91,TIGER,0.15
92,BEAR,0.15
93,CROCODILE,0.15
94,PARROT,0.15
95,PANDA,0.15
96,JELLYFISH,0.15
97,RHINO,0.1
98,LEOPARD,0.1
99,FLAMINGO,0.1
100,KANGAROO,0.1
101,SCORPION,0.1
102,SHARK,0.01
