103,1990 TOYOTA COROLLA,0.45
104,1999 SUBARU OUTBACK,0.45
105,2001 FORD ESCAPE,0.45
106,2000 HONDA ACCORD,0.45
107,1998 JEEP WRANGLER,0.45
108,2008 NISSAN ROGUE,0.45
109,2001 GMC SIERRA,0.45
110,2005 CHEVROLET EQUINOX,0.45
111,1994 DODGE RAM ,0.45
112,2012 TOYOTA CAMRY,0.45
113,2009 HYUNDAI SANTA FE,0.45
114,2005 FORD F-150,0.45
115,2004 NISSAN ALTIMA,0.45
116,2018 FORD FUSION,0.45
117,2005 MAZDA MAZDA6,0.45
118,2008 VOLKSWAGEN JETTA,0.45
119,2014 CHRYSLER 200,0.45
120,1996 ACURA INTEGRA,0.45
121,2003 VOLVO V70,0.45
122,2003 MERCEDES-BENZ,0.45
123,1987 PROSCHE 911,0.25
124,2022 TESLA MODEL 3,0.25
125,2016 MERCEDES-BENZ,0.25
126,2017 AUDI S7,0.25
127,2013 CADILLAC CTS-V,0.25
128,2022 LEXUS IS,0.25
129,2022 BMW X7,0.25
130,1989 FERRARI 458 SPIDER,0.25
131,1950 PONTIAC SILVER STREAK,0.25
132,2020 FORD MUSTANG,0.25
133,2022 JEEP WRANGLER 4XE,0.25
134,1970 CHEVROLET MALIBU,0.25
135,1961 CHEVROLET IMPALA,0.25
136,2004 LAMBORGHINI G,0.25
137,1994 TOYOTA SUPRA,0.25
138,BUGATTI VEYRON,0.15
139,2017 PAGANI HUAYRA ROADSTER,0.15
140,MCLAREN ELVA,0.15
141,ASTON MARTIN VALHALLA,0.15
142,2009 MAYBACH 62 LANDAULET RWD,0.15
143,2015 BRABUS B63,0.15
144,2023 KEONIGSEGG GEMERA,0.15
145,2008 ROLLS-ROYCE PHANTOM,0.15
146,LAMBORGHINI SIAN,0.15
147,2017 FERRARI LAFERRARI APERTA,0.15
148,ERIC'S 2012 HONDA CIVIC,0.1
149,DINO'S 2009 TOYOTA TACOMA,0.1
150,GARRETT'S 2009 SATURN AURA,0.1
151,TERASENCE'S 2012 FORD ESCAPE,0.1
152,KARTHI'S 2019 HYUNDAI SONATA,0.1
153,1995 MITSUBISHI MINICAB,0.01
